Index,Hora,Frecuencia Cardiaca,Frecuencia Respiratoria,Estado
1,09:37:01,65,21,En habitacion
2,09:37:13,65,21,En habitacion
3,09:37:24,65,21,En habitacion
4,09:37:35,65,21,En habitacion
5,09:37:46,88,12,En habitacion
6,09:37:56,142,12,En habitacion
7,09:38:06,0,0,En habitacion
8,09:38:18,0,0,En habitacion
9,09:38:30,90,17,En habitacion
10,09:38:43,90,17,En habitacion
11,09:38:55,90,84,En habitacion
12,09:39:06,128,11,En habitacion
13,09:39:17,128,11,En habitacion
14,09:39:28,128,11,En habitacion
15,09:39:38,80,18,En habitacion
16,09:39:49,0,0,En habitacion
17,09:40:01,71,0,En habitacion
18,09:40:12,71,0,En habitacion
19,09:40:23,71,0,En habitacion
20,09:40:36,71,0,En habitacion
21,09:40:50,71,16,En habitacion
22,09:41:01,71,14,En habitacion
23,09:41:12,70,13,En habitacion
24,09:41:24,70,11,En habitacion
25,09:41:35,81,11,En habitacion
26,09:41:46,85,11,En habitacion
27,09:41:57,85,11,En habitacion
28,09:42:08,85,10,En habitacion
29,09:42:18,85,19,En habitacion
30,09:42:29,137,20,En habitacion
31,09:42:40,137,20,En habitacion
32,09:42:50,137,20,En habitacion
33,09:43:00,137,20,En habitacion
34,09:43:12,0,0,En habitacion
35,09:43:23,85,11,En habitacion
