Index,Hora,Frecuencia Cardiaca,Frecuencia Respiratoria,Punto 1,Punto 2,Punto 3,Punto 4,Punto 5
1,17:51:36,128,14,36,157,130,195,253
2,17:51:48,79,63,18,120,127,127,159
3,17:52:00,79,15,21,154,177,31,104
4,17:52:50,66,66,147,176,32,161,49
5,17:53:03,120,18,219,118,132,114,65
6,17:53:15,132,0,131,241,252,223,221
7,17:53:28,80,16,148,98,136,129,203
8,17:53:40,80,14,129,184,107,40,143
9,17:53:52,76,16,129,184,107,40,143
10,17:54:04,74,18,129,184,107,40,143
11,17:54:17,74,15,118,155,147,140,128
12,17:54:44,121,14,165,152,103,7,84
13,17:54:56,128,14,28,47,121,196,235
14,17:55:09,128,62,84,146,239,221,68
15,17:55:24,84,14,25,60,177,135,126
16,17:55:36,84,14,111,248,69,89,163
17,17:55:50,130,13,33,175,147,68,86
18,17:56:04,71,13,22,221,65,172,64
19,17:56:17,71,13,113,46,237,55,181
20,17:56:32,74,64,158,73,192,48,175
21,17:56:45,82,20,114,153,190,116,69
22,17:56:58,86,20,182,77,56,82,209
23,17:57:11,86,14,119,148,114,135,158
24,17:57:24,86,13,178,136,108,119,105
25,17:57:37,81,19,204,111,139,225,107
26,17:58:06,72,24,183,66,154,124,210
27,17:58:20,72,24,10,132,113,176,59
28,17:58:33,83,19,163,47,56,127,88
29,17:58:46,75,16,88,74,0,146,232
30,17:58:58,69,65,239,85,216,162,239
31,17:59:10,69,18,161,128,95,170,210
32,17:59:23,133,14,188,189,140,29,120
33,17:59:35,80,13,111,6,120,121,81
34,17:59:47,73,61,111,6,120,121,81
35,17:59:59,73,15,139,66,134,34,160
36,18:00:11,64,14,135,88,100,114,93
37,18:00:24,64,14,98,129,169,106,135
38,18:00:37,128,10,245,224,32,41,170
39,18:00:52,72,10,94,100,93,121,111
40,18:01:04,72,57,239,226,138,94,186
41,18:01:15,72,58,245,0,161,181,213
42,18:01:30,0,56,245,0,161,181,213
43,18:01:43,121,13,91,94,84,120,44
44,18:01:56,69,15,75,231,118,64,155
45,18:02:53,52,14,158,158,177,13,129
46,18:03:06,72,14,233,76,192,179,125
47,18:03:18,66,13,155,116,106,116,54
48,18:03:30,118,63,162,149,223,157,80
49,18:03:43,66,65,28,209,210,126,101
50,18:03:56,68,66,172,141,122,82,188
51,18:04:08,75,65,133,51,134,194,231
52,18:04:20,75,16,70,139,9,174,119
53,18:04:31,75,14,159,147,47,255,234
54,18:04:43,75,63,162,157,166,88,225
55,18:04:55,75,16,171,24,122,86,173
56,18:05:08,75,16,106,170,91,31,49
57,18:05:21,62,232,22,108,140,253,83
58,18:05:35,62,232,114,103,105,104,74
59,18:05:48,62,14,152,111,120,180,102
60,18:05:59,114,15,219,114,250,125,182
61,18:06:12,80,16,116,20,84,163,83
62,18:06:24,77,16,200,99,148,102,64
63,18:06:36,77,17,103,107,109,145,113
64,18:06:49,71,16,12,106,118,126,241
65,18:07:00,115,19,126,120,139,177,28
66,18:07:13,63,20,103,113,150,121,120
67,18:07:25,63,20,134,115,124,127,217
68,18:07:37,63,21,103,161,29,237,187
69,18:07:50,71,18,103,161,29,237,187
70,18:08:03,75,13,145,82,209,120,227
71,18:08:18,78,12,107,138,122,152,245
72,18:08:30,78,14,251,71,88,138,235
73,18:08:42,130,18,248,125,131,141,130
74,18:08:55,130,18,95,99,110,46,134
75,18:09:08,161,18,116,111,113,130,153
76,18:09:20,69,16,156,148,51,96,139
77,18:09:33,121,15,139,106,129,134,220
78,18:09:45,69,12,63,134,191,251,20
79,18:09:58,124,18,221,114,42,102,134
80,18:10:11,72,18,104,16,75,160,145
81,18:10:22,75,18,178,250,122,37,190
82,18:10:34,72,65,73,147,163,155,155
83,18:10:46,65,17,103,139,108,101,87
84,18:10:59,65,19,179,32,130,133,217
85,18:11:12,66,20,77,167,78,142,139
86,18:11:25,127,15,2,239,193,185,249
87,18:11:37,129,11,186,104,254,216,151
88,18:11:49,84,10,210,120,192,0,137
89,18:12:02,82,8,213,176,238,142,201
90,18:12:14,137,56,14,217,36,186,146
91,18:12:25,87,60,14,217,36,186,146
92,18:12:38,138,66,106,105,12,119,164
93,18:12:50,72,16,106,105,12,119,164
94,18:13:02,86,16,19,128,157,243,112
95,18:13:16,86,16,134,26,80,117,229
96,18:13:28,75,14,128,26,80,117,229
97,18:13:40,84,15,248,115,112,100,11
98,18:13:53,88,15,248,115,112,100,11
99,18:14:05,88,14,248,115,112,100,11
100,18:14:19,74,65,200,163,128,49,214
101,18:14:32,82,19,200,163,128,49,214
102,18:14:44,88,18,148,41,134,110,16
103,18:14:56,85,14,100,145,146,172,236
104,18:15:10,81,0,100,145,146,42,122
105,18:15:22,122,20,49,168,201,146,210
106,18:15:37,0,0,151,170,209,243,221
107,18:15:49,81,65,167,13,111,126,210
108,18:16:02,0,65,192,32,170,94,102
109,18:16:15,0,0,157,207,130,177,69
110,18:16:27,79,20,157,207,130,177,69
111,18:16:39,86,20,97,128,143,156,33
112,18:16:52,86,19,228,55,26,130,185
113,18:17:03,86,21,121,150,107,162,144
114,18:17:15,68,20,185,43,29,18,160
115,18:17:26,68,16,102,207,129,154,182
116,18:17:38,62,59,102,176,140,191,174
117,18:17:53,115,9,248,12,46,0,197
118,18:18:06,63,57,207,249,33,15,22
119,18:18:18,63,10,21,102,124,61,99
120,18:18:30,78,10,96,95,139,149,160
121,18:18:44,85,10,192,45,16,191,217
122,18:18:57,85,22,30,3,64,222,244
123,18:19:10,85,17,128,2,111,35,250
124,18:19:22,138,16,107,115,186,46,147
125,18:19:34,141,16,112,136,119,37,63
126,18:19:47,141,17,123,159,230,251,70
127,18:19:59,141,68,47,188,29,240,83
128,18:20:12,66,18,143,155,72,106,4
129,18:20:24,117,15,38,68,85,232,83
130,18:20:37,64,18,45,247,69,92,254
131,18:20:48,69,65,98,164,58,87,217
132,18:21:03,85,64,134,158,104,83,161
133,18:21:29,68,11,213,211,154,110,90
134,18:21:42,63,10,206,136,251,139,56
135,18:21:54,62,58,165,77,85,212,174
136,18:22:06,62,59,36,81,143,101,80
137,18:22:18,117,9,123,136,119,121,76
138,18:22:31,83,7,174,41,213,56,166
139,18:22:42,83,55,71,174,113,230,53
140,18:22:55,71,7,39,26,114,127,57
141,18:23:07,79,8,228,155,125,75,22
142,18:23:23,81,59,61,69,106,92,1
143,18:23:36,79,16,54,193,166,88,169
144,18:23:49,134,16,14,150,96,122,36
145,18:24:01,82,14,103,137,119,0,0
146,18:24:15,80,62,194,159,224,133,46
147,18:24:27,69,62,172,75,153,144,84
148,18:24:40,62,21,198,177,182,120,10
149,18:24:54,69,70,57,47,224,134,199
150,18:25:06,118,21,113,188,102,106,174
151,18:25:18,118,21,170,94,114,114,177
152,18:25:31,80,20,17,177,150,129,246
