Index,Hora,Frecuencia Cardiaca,Frecuencia Respiratoria,Punto 1,Punto 2,Punto 3,Punto 4,Punto 5
1,19:23:31,0,0,128,128,128,128,187
2,19:23:44,0,0,128,128,128,128,187
3,19:23:56,73,18,108,114,133,129,84
4,19:24:08,127,14,132,131,95,121,149
5,19:24:23,128,17,140,106,120,134,144
6,19:24:35,148,21,122,135,130,121,126
7,19:24:47,70,23,65,109,126,111,43
8,19:25:00,100,25,121,118,120,122,161
9,19:25:14,152,26,120,99,135,125,183
10,19:25:26,152,26,127,150,148,175,225
11,19:25:39,99,69,18,163,104,119,83
12,19:25:52,151,65,94,120,253,83,89
13,19:26:03,93,21,94,120,253,83,89
14,19:26:17,90,19,127,126,108,159,185
15,19:26:28,90,18,84,136,187,115,148
16,19:26:42,142,20,161,153,101,71,138
17,19:26:54,90,0,116,157,163,119,97
18,19:27:07,77,0,126,130,132,136,120
19,19:27:19,77,68,135,139,139,109,138
20,19:27:31,77,18,135,209,85,87,110
21,19:27:43,74,21,135,209,85,87,110
22,19:27:55,76,20,101,161,95,71,69
23,19:28:07,122,19,101,161,95,71,69
24,19:28:19,66,18,101,161,95,71,69
25,19:28:31,66,18,37,137,114,127,0
26,19:28:45,66,18,113,137,145,133,205
27,19:28:56,66,13,95,122,116,133,186
28,19:29:09,66,13,166,125,119,115,162
29,19:29:22,66,13,2,9,54,29,81
30,19:29:49,81,20,234,168,180,194,36
31,19:30:03,80,20,121,130,112,146,153
32,19:30:15,80,24,150,76,79,124,45
33,19:30:27,83,23,115,102,159,144,177
34,19:30:40,144,25,118,126,128,121,171
35,19:30:55,97,25,85,125,181,186,84
36,19:31:09,88,13,140,133,133,119,194
37,19:31:21,82,17,29,77,79,111,116
38,19:31:33,82,14,250,133,79,178,93
39,19:31:46,65,61,17,120,5,181,170
40,19:31:58,84,13,135,204,72,124,187
41,19:32:10,117,14,46,136,99,197,206
42,19:32:22,65,63,101,119,141,78,97
43,19:32:35,130,13,243,123,30,244,83
44,19:32:49,154,14,161,129,126,95,189
45,19:33:01,63,10,55,113,195,157,185
46,19:33:13,74,12,58,71,106,86,71
47,19:33:24,83,13,111,248,162,16,123
48,19:33:37,87,14,111,248,162,16,123
49,19:33:48,80,62,254,0,2,43,185
50,19:34:02,79,61,194,187,97,77,219
51,19:34:15,84,61,74,131,148,37,112
52,19:34:27,84,62,72,58,58,135,221
53,19:34:39,89,64,115,128,132,133,196
54,19:34:51,73,14,21,85,144,124,56
55,19:35:04,65,17,155,149,180,163,148
56,19:35:18,65,19,127,175,137,106,174
57,19:35:32,70,20,204,242,74,87,178
58,19:35:44,70,58,95,27,154,165,83
59,19:35:59,70,8,148,136,118,115,107
60,19:36:12,76,13,136,219,108,42,203
61,19:36:25,76,63,141,99,128,134,108
62,19:36:37,76,60,43,126,157,136,207
63,19:36:50,134,14,98,132,89,135,96
64,19:37:01,80,17,169,107,99,110,62
65,19:37:13,71,16,100,140,95,42,1
66,19:37:26,69,16,0,163,108,95,36
67,19:37:38,85,16,78,146,135,218,94
68,19:37:50,75,66,27,77,103,114,126
69,19:38:02,73,18,109,41,97,112,111
70,19:38:15,82,18,222,146,96,205,146
71,19:38:29,82,18,223,187,253,115,241
72,19:38:43,72,18,127,153,133,92,177
73,19:38:55,64,18,112,81,181,171,205
74,19:39:08,64,62,169,123,167,171,72
75,19:39:21,64,13,134,112,104,91,142
76,19:39:33,116,10,39,55,239,98,68
77,19:39:48,64,9,49,195,141,139,179
78,19:40:02,0,10,133,161,126,55,105
79,19:40:15,83,57,113,176,133,116,153
80,19:40:28,83,10,110,117,171,117,216
81,19:40:41,90,61,219,45,119,113,88
82,19:40:54,90,12,139,128,74,179,18
83,19:41:22,79,16,144,169,167,115,165
84,19:41:33,131,16,124,145,135,112,84
85,19:41:45,131,16,125,208,124,105,94
86,19:41:58,129,14,99,83,53,87,53
87,19:42:10,65,15,160,2,59,243,126
88,19:42:22,65,16,171,92,163,84,0
89,19:42:34,65,15,137,180,115,134,201
90,19:42:47,65,59,167,139,136,103,51
91,19:43:00,65,12,105,128,96,104,167
92,19:43:11,81,12,81,121,64,13,119
93,19:43:23,81,66,184,111,86,185,34
94,19:43:36,81,68,211,114,121,143,0
95,19:43:50,133,15,165,238,28,126,192
96,19:44:02,86,15,88,65,28,126,192
97,19:44:15,86,20,88,65,28,126,192
98,19:44:29,82,62,152,77,120,128,69
99,19:44:41,76,19,56,68,27,121,128
100,19:44:52,88,20,132,138,178,142,240
101,19:45:04,89,18,83,129,208,152,205
102,19:45:18,89,18,231,175,108,104,165
