Index,Hora,Frecuencia Cardiaca,Frecuencia Respiratoria,Estado
1,10:23:52,0,18,Durmiendo
2,10:24:04,66,21,Durmiendo
3,10:24:15,66,59,Durmiendo
4,10:24:27,118,59,Durmiendo
5,10:24:37,65,59,Durmiendo
6,10:24:47,65,59,Durmiendo
7,10:24:58,65,59,Durmiendo
8,10:25:09,65,59,Durmiendo
9,10:25:19,65,59,Durmiendo
10,10:25:30,65,59,Durmiendo
11,10:25:42,117,19,Durmiendo
12,10:25:53,117,19,Durmiendo
13,10:26:05,77,19,Durmiendo
14,10:26:16,77,12,Durmiendo
15,10:26:27,0,0,Durmiendo
16,10:26:38,0,0,Durmiendo
17,10:26:50,129,11,Durmiendo
18,10:27:03,79,11,Durmiendo
19,10:27:14,79,11,Durmiendo
20,10:27:25,79,14,Durmiendo
21,10:27:37,0,14,Durmiendo
22,10:27:47,117,64,Durmiendo
23,10:27:58,65,18,Durmiendo
24,10:28:10,0,0,Vacio
25,10:28:20,63,17,Durmiendo
26,10:28:31,63,17,Durmiendo
27,10:28:41,63,17,Durmiendo
28,10:28:53,124,16,Durmiendo
29,10:29:04,124,16,Durmiendo
30,10:29:17,124,62,Durmiendo
31,10:29:27,124,17,Durmiendo
32,10:29:39,84,84,Durmiendo
33,10:29:49,84,68,Durmiendo
34,10:30:36,0,68,Durmiendo
35,10:30:47,72,20,Durmiendo
