Index,Hora,Frecuencia Cardiaca,Frecuencia Respiratoria,Estado
1,09:53:59,90,16,En habitacion
2,09:54:10,0,0,En habitacion
3,09:54:21,0,0,En habitacion
4,09:54:32,0,0,En habitacion
5,09:54:44,126,7,En habitacion
6,09:54:56,78,59,En habitacion
7,09:55:10,64,16,En habitacion
8,09:55:21,64,18,En habitacion
9,09:55:35,64,69,En habitacion
10,09:55:45,64,69,En habitacion
11,09:55:56,0,0,Vacio
12,09:56:09,0,0,En habitacion
13,09:56:21,0,0,En habitacion
14,09:56:31,76,0,En habitacion
15,09:56:41,85,15,En habitacion
16,09:56:56,142,15,En habitacion
17,09:57:11,90,15,En habitacion
18,09:57:22,88,14,En habitacion
19,09:57:32,88,14,En habitacion
20,09:57:43,0,0,En habitacion
21,09:57:53,0,0,En habitacion
22,09:58:06,0,0,En habitacion
23,09:58:21,0,0,En habitacion
24,09:58:34,0,0,En habitacion
25,09:58:44,0,0,En habitacion
26,09:58:54,0,0,En habitacion
27,09:59:05,69,63,En habitacion
28,09:59:16,0,13,En habitacion
29,09:59:28,0,0,En habitacion
30,09:59:41,0,18,En habitacion
31,09:59:52,71,18,En habitacion
32,10:00:03,76,17,En habitacion
33,10:00:15,74,17,En habitacion
34,10:00:26,74,17,En habitacion
35,10:00:36,74,14,Durmiendo
36,10:00:48,63,14,Durmiendo
37,10:00:59,63,14,Durmiendo
38,10:01:11,0,13,Durmiendo
39,10:01:21,0,13,Durmiendo
40,10:01:34,0,15,Durmiendo
41,10:01:46,74,15,Durmiendo
42,10:02:00,132,15,Durmiendo
43,10:02:10,74,16,Durmiendo
44,10:02:21,74,12,Durmiendo
45,10:02:33,74,14,Durmiendo
46,10:02:44,79,16,Durmiendo
47,10:02:57,0,0,Durmiendo
48,10:03:10,82,0,Durmiendo
49,10:03:21,88,19,Durmiendo
50,10:03:34,80,66,Durmiendo
51,10:03:45,78,17,Durmiendo
52,10:03:57,78,62,Durmiendo
53,10:04:10,78,62,Durmiendo
54,10:04:22,78,62,Durmiendo
55,10:04:36,0,0,Durmiendo
56,10:04:48,79,14,Durmiendo
57,10:05:00,73,12,Durmiendo
58,10:05:12,73,12,Durmiendo
59,10:05:23,73,12,Durmiendo
60,10:05:35,73,12,Durmiendo
61,10:05:48,73,12,Durmiendo
62,10:06:00,76,18,Durmiendo
63,10:06:11,76,18,Durmiendo
64,10:06:24,66,0,Durmiendo
65,10:06:36,66,19,Durmiendo
66,10:06:49,66,19,Durmiendo
67,10:07:02,66,19,Durmiendo
68,10:07:27,68,19,Durmiendo
69,10:07:39,68,64,Durmiendo
70,10:07:50,68,64,Durmiendo
71,10:08:02,68,64,Durmiendo
72,10:08:12,68,64,Durmiendo
73,10:08:25,77,13,Durmiendo
74,10:08:37,129,62,Durmiendo
75,10:08:48,73,13,Durmiendo
76,10:09:00,73,13,Durmiendo
77,10:09:13,123,64,Durmiendo
78,10:09:28,65,0,Durmiendo
79,10:09:40,0,20,Durmiendo
80,10:09:53,0,20,Durmiendo
81,10:10:06,62,20,Durmiendo
82,10:10:17,62,20,Durmiendo
83,10:10:29,62,20,Durmiendo
84,10:10:40,62,20,Durmiendo
85,10:10:52,62,20,Durmiendo
86,10:11:05,62,20,Durmiendo
87,10:11:16,62,20,Durmiendo
88,10:11:28,0,0,Durmiendo
89,10:11:40,0,24,Durmiendo
90,10:11:51,0,24,Durmiendo
91,10:12:03,0,24,Durmiendo
92,10:12:14,0,24,Durmiendo
93,10:12:25,0,24,Durmiendo
94,10:12:36,0,24,Durmiendo
95,10:12:49,0,24,Durmiendo
96,10:13:01,0,24,Durmiendo
97,10:13:12,0,9,Durmiendo
98,10:13:24,90,7,Durmiendo
99,10:13:36,90,9,Durmiendo
100,10:13:47,90,9,Durmiendo
101,10:14:00,90,9,Durmiendo
102,10:14:11,90,9,Durmiendo
103,10:14:22,90,9,Durmiendo
104,10:14:32,90,64,Durmiendo
105,10:14:43,90,64,Durmiendo
106,10:14:55,0,0,Vacio
107,10:15:05,0,0,Vacio
108,10:15:16,0,0,Vacio
109,10:15:27,0,0,Durmiendo
110,10:15:38,0,0,Durmiendo
111,10:15:49,62,19,Durmiendo
112,10:16:00,62,19,Durmiendo
113,10:16:10,62,20,Durmiendo
114,10:16:22,62,20,Durmiendo
115,10:16:35,62,18,Durmiendo
116,10:16:45,128,64,Durmiendo
117,10:16:57,0,65,Durmiendo
118,10:17:08,0,0,Durmiendo
119,10:17:20,0,66,Durmiendo
120,10:17:33,0,18,Durmiendo
121,10:17:43,0,18,Durmiendo
122,10:17:57,0,18,Durmiendo
123,10:18:08,0,18,Durmiendo
124,10:18:19,0,18,Durmiendo
125,10:18:29,0,20,Durmiendo
126,10:18:40,0,20,Durmiendo
127,10:18:52,0,0,Durmiendo
128,10:19:04,0,0,Durmiendo
129,10:19:16,0,0,Durmiendo
130,10:19:29,0,19,Durmiendo
131,10:19:40,0,19,Durmiendo
132,10:19:51,0,19,Durmiendo
133,10:20:02,0,19,Durmiendo
134,10:20:12,0,19,Durmiendo
135,10:20:23,0,12,Durmiendo
136,10:20:35,0,14,Durmiendo
137,10:20:45,84,14,Durmiendo
138,10:20:58,89,15,Durmiendo
139,10:21:12,116,65,Durmiendo
140,10:21:26,116,17,Durmiendo
141,10:21:39,116,17,Durmiendo
142,10:21:50,116,17,Durmiendo
143,10:22:01,137,18,Durmiendo
144,10:22:12,0,0,Durmiendo
