Index,Hora,Frecuencia Cardiaca,Frecuencia Respiratoria,Estado
1,10:36:00,76,21,Durmiendo
2,10:36:11,0,21,Durmiendo
3,10:36:23,0,21,Durmiendo
4,10:36:33,121,21,Durmiendo
5,10:36:44,121,23,Durmiendo
6,10:36:55,121,23,Durmiendo
7,10:37:06,0,0,Durmiendo
8,10:37:17,0,23,Durmiendo
9,10:37:28,0,23,Durmiendo
10,10:37:38,0,23,Durmiendo
11,10:37:49,0,23,Durmiendo
12,10:38:00,69,69,Durmiendo
13,10:38:12,69,69,Durmiendo
14,10:38:24,0,69,Durmiendo
15,10:38:35,68,0,Durmiendo
16,10:38:47,0,0,Vacio
17,10:38:59,63,70,Durmiendo
18,10:39:09,115,23,Durmiendo
19,10:39:20,62,71,Durmiendo
20,10:39:31,114,23,Durmiendo
21,10:39:41,62,23,Durmiendo
22,10:39:53,62,22,Durmiendo
23,10:40:06,0,22,Durmiendo
24,10:40:16,85,22,Durmiendo
25,10:40:27,85,22,Durmiendo
26,10:40:38,0,0,Durmiendo
27,10:40:50,71,0,Durmiendo
28,10:41:00,71,0,Durmiendo
29,10:41:11,71,23,Durmiendo
30,10:41:22,71,23,Durmiendo
31,10:41:32,71,23,Durmiendo
32,10:41:44,0,71,Durmiendo
33,10:41:55,128,23,Durmiendo
34,10:42:10,128,23,Durmiendo
35,10:42:21,0,0,Durmiendo
36,10:42:32,0,22,Durmiendo
37,10:42:44,72,21,Durmiendo
38,10:42:54,118,21,Durmiendo
39,10:43:05,65,21,Durmiendo
40,10:43:18,64,22,Durmiendo
41,10:43:30,64,22,Durmiendo
42,10:43:43,80,22,Durmiendo
43,10:43:54,68,21,Durmiendo
44,10:44:04,70,22,Durmiendo
45,10:44:15,70,22,Durmiendo
46,10:44:26,70,22,Durmiendo
47,10:44:37,70,22,Durmiendo
48,10:44:48,123,71,Durmiendo
49,10:45:00,123,24,Durmiendo
50,10:45:12,70,23,Durmiendo
51,10:45:23,118,69,Durmiendo
52,10:45:34,66,19,Durmiendo
53,10:45:46,0,0,Durmiendo
54,10:45:57,0,0,Durmiendo
55,10:46:09,0,20,Durmiendo
56,10:46:19,65,20,Durmiendo
57,10:46:31,65,20,Durmiendo
58,10:46:42,65,20,Durmiendo
59,10:46:53,65,70,Durmiendo
60,10:47:03,65,70,Durmiendo
61,10:47:15,68,71,Durmiendo
62,10:47:25,68,22,Durmiendo
63,10:47:36,0,0,Durmiendo
64,10:47:47,0,0,Durmiendo
65,10:48:34,116,21,Durmiendo
66,10:48:46,64,20,Durmiendo
67,10:48:59,64,20,Durmiendo
68,10:49:10,64,18,Vacio
69,10:49:21,64,66,Durmiendo
70,10:49:32,64,66,Durmiendo
71,10:49:45,64,16,Durmiendo
72,10:49:56,64,15,Durmiendo
73,10:50:06,116,13,Durmiendo
74,10:50:17,64,13,Durmiendo
75,10:50:29,71,15,Durmiendo
76,10:50:41,74,16,Durmiendo
77,10:50:51,69,17,Durmiendo
78,10:51:02,0,0,Durmiendo
79,10:51:15,0,0,Durmiendo
80,10:51:26,0,0,Durmiendo
81,10:51:37,0,0,Durmiendo
82,10:51:49,0,0,Durmiendo
83,10:52:01,0,14,Durmiendo
84,10:52:16,80,14,Durmiendo
85,10:52:27,80,14,Durmiendo
86,10:52:39,0,0,Durmiendo
87,10:52:50,0,0,Durmiendo
88,10:53:16,138,17,Durmiendo
89,10:53:26,138,17,Durmiendo
90,10:53:36,126,17,Durmiendo
91,10:53:47,126,20,Durmiendo
92,10:53:58,126,69,Durmiendo
93,10:54:09,74,69,Durmiendo
94,10:54:22,73,69,Durmiendo
95,10:54:33,0,69,Durmiendo
96,10:54:43,0,69,Durmiendo
97,10:54:54,0,69,Durmiendo
98,10:55:04,0,69,Durmiendo
99,10:55:16,126,20,Durmiendo
100,10:55:27,126,20,Durmiendo
