Index,Hora,Frecuencia Cardiaca,Frecuencia Respiratoria,Punto 1,Punto 2,Punto 3,Punto 4,Punto 5
1,21:20:13,66,20,100,180,129,74,237

2,21:20:27,66,20,169,194,140,96,102

3,21:20:39,66,70,139,178,66,6,112

4,21:21:07,66,70,124,144,0,125,221

5,21:21:19,118,66,124,74,84,0,63

6,21:21:31,118,18,124,74,84,114,181

7,21:21:43,128,19,110,193,208,93,72

8,21:21:55,79,68,110,193,208,93,72

9,21:22:08,79,69,110,193,208,93,72

10,21:22:20,69,21,76,225,185,204,22

11,21:22:33,65,19,206,41,81,13,255

12,21:22:45,65,16,149,174,53,57,48

13,21:22:57,64,16,189,107,71,85,26

14,21:23:09,65,59,255,115,123,127,19

15,21:23:23,83,58,143,138,210,84,0

16,21:23:34,82,59,63,249,105,110,242

17,21:23:48,70,11,95,192,132,170,135

18,21:24:01,74,18,106,128,114,113,182

19,21:24:14,75,21,119,149,100,144,187

20,21:24:27,75,21,125,58,57,53,202

21,21:24:41,78,0,136,210,245,203,187

22,21:24:53,130,68,252,145,140,250,60

23,21:25:05,76,68,252,145,140,250,60

24,21:25:20,0,15,189,93,138,110,137

25,21:25:33,75,15,143,51,222,97,29

26,21:25:46,75,15,98,105,227,38,216

27,21:25:58,83,64,130,84,138,189,70

28,21:26:10,83,14,86,83,34,7,141

29,21:26:23,82,15,132,90,110,58,212

30,21:26:36,80,61,72,93,107,167,177

31,21:26:48,83,60,88,128,121,66,177

32,21:27:03,72,61,173,143,120,5,1

33,21:27:16,123,11,156,154,125,128,98

34,21:27:43,79,58,96,117,102,72,131

35,21:27:57,77,12,87,253,29,95,137

36,21:28:09,129,15,33,106,68,158,165

37,21:28:22,129,17,104,126,163,172,10

38,21:28:35,77,16,243,111,23,129,147

39,21:28:47,132,11,144,120,111,113,215

40,21:28:59,80,60,118,160,140,136,14

41,21:29:11,79,13,242,128,96,85,232

42,21:29:24,79,60,3,51,146,88,154

43,21:29:37,79,60,238,130,112,205,33

44,21:29:49,78,60,108,113,111,107,99

45,21:30:40,81,69,169,124,141,126,184

46,21:30:54,81,9,136,97,141,126,184

47,21:31:06,85,7,194,154,170,124,72

48,21:31:19,72,9,113,131,123,119,134

49,21:31:31,127,15,134,131,123,119,48

50,21:31:44,72,68,73,93,30,0,0

51,21:31:56,69,22,73,93,30,0,0

52,21:32:09,124,20,119,128,79,105,189

53,21:32:21,81,64,248,211,212,82,123

54,21:32:34,74,162,128,111,223,169,53

55,21:32:46,74,162,148,183,171,107,181

56,21:32:57,85,19,65,199,187,113,1

57,21:33:10,80,19,75,79,105,129,50

58,21:33:23,114,18,118,112,127,133,175

59,21:33:34,77,13,9,97,43,109,197

60,21:33:46,75,60,9,97,43,109,197

61,21:33:58,76,11,30,202,247,102,142

62,21:34:11,82,10,130,163,106,144,38

63,21:34:25,82,11,135,62,155,235,246

64,21:34:39,134,61,55,74,150,159,162

65,21:34:50,82,20,87,72,58,79,211

66,21:35:03,82,21,180,210,239,57,10

67,21:35:16,142,16,151,147,121,160,115

68,21:35:29,90,15,121,99,112,84,75

69,21:35:41,142,15,98,28,199,194,111

70,21:35:53,90,15,120,22,138,59,202

71,21:36:08,90,15,90,186,94,144,248

72,21:36:20,90,16,156,109,157,100,100

