Index,Hora,Frecuencia Cardiaca,Frecuencia Respiratoria,Estado
1,13:52:04,85,18,En habitacion
2,13:52:16,116,20,En habitacion
3,13:52:29,116,70,En habitacion
4,13:52:41,0,0,En habitacion
5,13:52:55,0,66,En habitacion
6,13:53:10,94,17,En habitacion
7,13:53:21,79,62,En habitacion
8,13:53:33,73,59,En habitacion
9,13:53:43,131,84,En habitacion
10,13:53:55,86,9,En habitacion
11,13:54:06,83,57,En habitacion
12,13:54:19,74,57,En habitacion
13,13:54:31,71,9,En habitacion
14,13:54:43,133,11,En habitacion
15,13:54:54,133,13,En habitacion
16,13:55:06,62,17,En habitacion
17,13:55:18,62,19,En habitacion
18,13:55:30,62,19,En habitacion
19,13:55:42,73,19,En habitacion
20,13:55:54,73,19,En habitacion
21,13:56:06,0,0,En habitacion
22,13:56:19,84,17,En habitacion
23,13:56:32,84,18,En habitacion
24,13:56:43,84,18,En habitacion
25,13:56:55,84,18,En habitacion
26,13:57:07,84,59,En habitacion
27,13:57:18,84,59,En habitacion
28,13:57:30,84,59,En habitacion
29,13:57:42,83,59,En habitacion
30,13:57:54,0,0,En habitacion
31,13:58:06,0,0,En habitacion
32,13:58:17,0,0,En habitacion
33,13:58:30,0,0,En habitacion
34,13:58:43,0,0,En habitacion
35,13:58:54,0,0,En habitacion
36,13:59:07,0,0,En habitacion
37,13:59:20,0,0,En habitacion
38,13:59:31,0,0,En habitacion
39,13:59:43,0,0,En habitacion
40,13:59:55,71,10,En habitacion
41,14:00:09,75,13,En habitacion
42,14:00:22,69,65,En habitacion
43,14:00:34,121,18,En habitacion
44,14:00:45,121,17,En habitacion
45,14:00:58,69,16,En habitacion
46,14:01:12,0,0,En habitacion
47,14:01:26,0,0,En habitacion
48,14:01:37,0,0,En habitacion
49,14:01:49,0,0,En habitacion
50,14:02:00,0,0,En habitacion
51,14:02:12,76,65,En habitacion
52,14:02:24,72,16,En habitacion
53,14:02:36,72,16,En habitacion
54,14:02:48,72,16,En habitacion
55,14:03:01,0,0,Vacio
56,14:03:13,0,0,En habitacion
57,14:03:25,0,0,En habitacion
58,14:03:37,0,13,En habitacion
59,14:03:50,0,13,En habitacion
60,14:04:02,0,13,En habitacion
61,14:04:13,0,13,En habitacion
62,14:04:27,0,13,En habitacion
63,14:04:38,0,13,En habitacion
64,14:04:49,0,0,Vacio
65,14:05:02,0,0,En habitacion
66,14:05:16,0,0,En habitacion
67,14:05:28,0,0,En habitacion
68,14:05:43,85,14,En habitacion
69,14:05:54,81,15,En habitacion
70,14:06:07,81,15,En habitacion
71,14:06:20,81,15,En habitacion
72,14:06:31,81,15,En habitacion
73,14:06:43,0,0,En habitacion
74,14:06:57,0,17,En habitacion
75,14:07:09,0,17,En habitacion
76,14:07:20,0,17,En habitacion
77,14:07:31,0,17,En habitacion
78,14:07:46,0,23,En habitacion
79,14:07:59,135,70,En habitacion
80,14:08:11,135,70,En habitacion
81,14:08:22,0,0,En habitacion
82,14:08:34,82,65,En habitacion
83,14:08:47,91,19,En habitacion
84,14:08:59,97,71,En habitacion
85,14:09:12,133,21,En habitacion
86,14:09:24,133,20,En habitacion
87,14:09:36,81,14,En habitacion
88,14:09:47,81,14,En habitacion
89,14:09:59,81,14,En habitacion
90,14:10:10,0,0,En habitacion
91,14:10:22,0,0,En habitacion
92,14:11:12,126,0,En habitacion
93,14:11:24,126,0,En habitacion
94,14:11:39,126,0,En habitacion
95,14:11:51,142,11,En habitacion
96,14:12:03,133,16,En habitacion
97,14:12:15,133,17,En habitacion
98,14:12:28,133,17,En habitacion
99,14:12:40,133,17,En habitacion
100,14:12:54,133,18,En habitacion
101,14:13:05,79,18,En habitacion
102,14:13:18,79,18,En habitacion
103,14:13:29,79,0,Vacio
104,14:13:41,0,0,En habitacion
105,14:13:55,0,71,En habitacion
106,14:14:06,0,71,En habitacion
107,14:14:20,103,27,En habitacion
108,14:14:35,155,28,En habitacion
109,14:14:47,155,28,En habitacion
110,14:15:00,155,28,En habitacion
111,14:15:12,155,0,Vacio
112,14:15:26,0,0,En habitacion
113,14:15:38,0,0,En habitacion
114,14:15:51,0,0,En habitacion
115,14:16:03,142,8,En habitacion
116,14:16:16,90,9,En habitacion
117,14:16:27,90,11,En habitacion
118,14:16:41,79,14,En habitacion
119,14:16:54,128,14,En habitacion
120,14:17:11,0,69,En habitacion
121,14:17:23,86,14,En habitacion
122,14:17:35,86,14,En habitacion
123,14:17:47,125,16,En habitacion
124,14:17:59,73,17,En habitacion
125,14:18:12,73,17,En habitacion
126,14:18:25,73,17,En habitacion
127,14:18:37,73,17,En habitacion
128,14:18:51,0,0,En habitacion
129,14:19:03,0,15,En habitacion
130,14:19:14,0,15,En habitacion
131,14:19:26,66,15,En habitacion
132,14:19:39,74,56,En habitacion
133,14:19:51,126,8,En habitacion
134,14:20:03,126,19,En habitacion
135,14:20:16,83,69,En habitacion
136,14:20:28,83,18,En habitacion
137,14:20:43,83,12,En habitacion
138,14:20:55,83,12,En habitacion
139,14:21:08,83,12,En habitacion
140,14:21:21,83,12,En habitacion
141,14:21:33,88,12,En habitacion
142,14:21:50,88,12,En habitacion
143,14:22:02,88,12,En habitacion
144,14:22:14,0,0,Vacio
145,14:22:26,0,0,Vacio
146,14:22:39,89,14,En habitacion
147,14:22:51,89,14,En habitacion
148,14:23:04,89,14,En habitacion
149,14:23:15,90,14,En habitacion
150,14:23:28,90,14,En habitacion
151,14:23:39,90,14,En habitacion
152,14:23:52,85,14,En habitacion
153,14:24:04,68,21,En habitacion
154,14:24:19,0,0,En habitacion
155,14:24:33,65,18,En habitacion
156,14:24:44,118,64,En habitacion
157,14:24:57,118,16,En habitacion
158,14:25:09,118,16,En habitacion
159,14:25:22,118,16,En habitacion
160,14:25:34,118,16,En habitacion
161,14:25:45,78,16,En habitacion
162,14:25:58,0,0,En habitacion
163,14:26:09,0,0,En habitacion
164,14:26:21,0,18,En habitacion
165,14:26:33,78,18,En habitacion
166,14:26:47,82,18,En habitacion
167,14:26:59,82,18,En habitacion
168,14:27:10,82,18,En habitacion
169,14:27:22,82,18,En habitacion
170,14:27:34,82,18,En habitacion
171,14:27:46,0,0,En habitacion
172,14:28:00,0,0,En habitacion
173,14:28:13,75,66,En habitacion
174,14:28:25,73,66,En habitacion
175,14:28:37,73,66,En habitacion
176,14:28:49,79,15,En habitacion
177,14:29:03,81,16,En habitacion
178,14:29:17,81,16,En habitacion
179,14:29:28,0,0,En habitacion
180,14:29:40,0,0,En habitacion
181,14:29:55,0,0,En habitacion
182,14:30:06,76,17,En habitacion
183,14:30:20,76,66,En habitacion
184,14:30:36,84,65,En habitacion
185,14:30:49,136,18,En habitacion
186,14:31:02,0,0,En habitacion
187,14:31:18,77,59,En habitacion
188,14:31:31,71,9,En habitacion
189,14:31:44,71,13,En habitacion
190,14:32:00,71,64,En habitacion
191,14:32:13,77,64,En habitacion
192,14:32:25,77,64,En habitacion
193,14:32:37,77,64,En habitacion
194,14:32:50,0,15,En habitacion
195,14:33:04,78,14,En habitacion
196,14:33:16,78,14,En habitacion
197,14:33:27,78,14,En habitacion
198,14:33:40,78,14,En habitacion
199,14:33:51,78,14,En habitacion
200,14:34:03,78,14,En habitacion
201,14:34:15,78,14,En habitacion
202,14:34:25,0,0,En habitacion
203,14:34:36,0,0,En habitacion
204,14:34:48,0,0,En habitacion
205,14:35:00,0,0,En habitacion
206,14:35:13,114,0,En habitacion
207,14:35:24,71,0,En habitacion
208,14:35:37,71,0,En habitacion
209,14:35:49,69,21,En habitacion
210,14:36:01,69,21,En habitacion
211,14:36:12,0,0,En habitacion
212,14:36:24,69,18,En habitacion
213,14:36:38,70,21,En habitacion
214,14:36:49,77,69,En habitacion
215,14:37:01,77,69,En habitacion
216,14:37:15,77,21,En habitacion
217,14:37:26,77,21,En habitacion
218,14:37:39,77,21,En habitacion
219,14:37:52,82,69,En habitacion
220,14:38:05,134,21,En habitacion
221,14:38:18,141,20,En habitacion
222,14:38:32,89,66,En habitacion
223,14:38:44,141,20,En habitacion
224,14:38:56,81,20,En habitacion
225,14:39:10,70,61,En habitacion
226,14:39:21,69,16,En habitacion
227,14:39:33,92,68,En habitacion
228,14:39:46,92,70,En habitacion
229,14:39:58,92,70,En habitacion
230,14:40:11,92,70,En habitacion
231,14:40:24,92,70,En habitacion
232,14:40:36,92,70,En habitacion
233,14:40:49,92,20,En habitacion
234,14:41:04,92,20,En habitacion
235,14:41:18,0,0,En habitacion
236,14:41:31,0,0,En habitacion
237,14:41:43,0,0,En habitacion
238,14:41:55,0,0,En habitacion
239,14:42:07,128,143,En habitacion
240,14:42:21,76,17,En habitacion
241,14:42:33,128,16,En habitacion
242,14:42:46,128,16,En habitacion
243,14:42:57,128,16,En habitacion
244,14:43:08,138,9,En habitacion
245,14:43:21,82,11,En habitacion
246,14:43:33,134,62,En habitacion
247,14:43:46,134,16,En habitacion
248,14:43:58,134,16,En habitacion
249,14:44:10,134,16,En habitacion
250,14:44:21,134,16,En habitacion
251,14:44:34,134,16,En habitacion
252,14:44:47,0,0,Vacio
253,14:45:01,0,0,En habitacion
254,14:45:13,80,21,En habitacion
255,14:45:24,80,21,En habitacion
256,14:45:36,70,18,En habitacion
257,14:45:48,70,18,En habitacion
258,14:46:01,63,15,En habitacion
259,14:46:13,63,66,En habitacion
260,14:46:26,63,17,En habitacion
261,14:46:39,0,0,En habitacion
262,14:46:51,69,0,En habitacion
263,14:47:02,77,61,En habitacion
264,14:47:17,78,14,En habitacion
265,14:47:29,77,15,En habitacion
266,14:47:42,77,13,En habitacion
267,14:47:55,75,65,En habitacion
268,14:48:07,75,19,En habitacion
269,14:48:19,75,19,En habitacion
270,14:48:30,0,0,Vacio
271,14:48:42,0,0,En habitacion
272,14:48:55,0,0,En habitacion
273,14:49:07,0,0,En habitacion
274,14:49:19,0,0,En habitacion
275,14:49:31,0,0,En habitacion
276,14:49:44,0,18,En habitacion
277,14:49:57,115,18,En habitacion
278,14:50:10,115,18,En habitacion
279,14:50:22,0,0,En habitacion
280,14:50:33,78,62,En habitacion
281,14:50:45,78,13,En habitacion
282,14:50:59,78,15,En habitacion
283,14:51:12,78,14,En habitacion
284,14:51:23,130,17,En habitacion
285,14:51:36,78,18,En habitacion
286,14:51:50,78,20,En habitacion
287,14:52:01,125,20,En habitacion
288,14:52:13,0,0,En habitacion
289,14:52:25,66,8,En habitacion
290,14:52:37,66,8,En habitacion
291,14:52:48,66,8,En habitacion
292,14:53:01,66,8,En habitacion
293,14:53:14,66,14,En habitacion
294,14:53:27,71,17,En habitacion
295,14:53:38,71,0,En habitacion
296,14:53:49,0,0,En habitacion
297,14:54:01,0,0,En habitacion
298,14:54:13,0,0,En habitacion
299,14:54:27,0,0,En habitacion
300,14:54:40,0,0,En habitacion
301,14:54:51,0,0,En habitacion
302,14:55:04,0,62,En habitacion
303,14:55:17,0,62,En habitacion
304,14:55:28,0,0,Vacio
305,14:55:41,0,0,Vacio
306,14:55:53,0,0,En habitacion
307,14:56:04,73,59,En habitacion
308,14:56:19,73,59,En habitacion
309,14:56:31,73,59,En habitacion
310,14:56:44,0,59,En habitacion
311,14:56:57,65,14,En habitacion
312,14:57:08,65,14,En habitacion
313,14:57:19,74,84,En habitacion
314,14:57:31,0,0,En habitacion
315,14:57:43,69,14,En habitacion
316,14:57:57,69,62,En habitacion
317,14:58:08,69,16,En habitacion
318,14:58:20,69,63,En habitacion
319,14:58:33,69,63,En habitacion
320,14:58:45,69,13,En habitacion
321,14:59:00,74,59,En habitacion
322,14:59:12,0,0,En habitacion
323,14:59:23,0,0,En habitacion
324,14:59:35,0,0,En habitacion
325,14:59:46,0,0,En habitacion
326,14:59:58,0,0,En habitacion
327,15:00:13,0,0,En habitacion
328,15:00:24,0,0,En habitacion
329,15:00:36,66,0,En habitacion
330,15:00:48,116,18,En habitacion
331,15:00:59,0,22,En habitacion
332,15:01:13,132,20,En habitacion
333,15:01:26,137,21,En habitacion
334,15:01:37,159,19,En habitacion
335,15:01:49,159,19,En habitacion
336,15:02:03,159,19,En habitacion
337,15:02:17,159,68,En habitacion
338,15:02:30,71,68,En habitacion
339,15:02:47,70,20,En habitacion
340,15:02:58,0,20,En habitacion
341,15:03:10,0,20,En habitacion
342,15:03:23,0,20,En habitacion
343,15:03:35,0,20,En habitacion
344,15:03:46,83,0,En habitacion
345,15:03:58,78,69,En habitacion
346,15:04:11,87,72,En habitacion
347,15:04:22,99,24,En habitacion
348,15:04:35,103,209,En habitacion
349,15:04:48,95,23,En habitacion
350,15:05:00,95,23,En habitacion
351,15:05:15,95,64,En habitacion
352,15:05:28,117,14,En habitacion
353,15:05:40,65,13,En habitacion
354,15:05:52,65,13,En habitacion
355,15:06:04,65,13,En habitacion
356,15:06:16,65,13,En habitacion
357,15:06:27,65,61,En habitacion
358,15:06:39,65,15,En habitacion
359,15:06:51,0,17,En habitacion
360,15:07:04,0,18,En habitacion
361,15:07:17,0,18,En habitacion
362,15:07:33,0,18,En habitacion
363,15:07:45,71,0,En habitacion
364,15:07:57,71,0,En habitacion
365,15:08:10,71,0,En habitacion
366,15:08:21,71,0,En habitacion
367,15:08:35,71,19,En habitacion
368,15:08:47,71,19,En habitacion
369,15:09:00,71,19,En habitacion
370,15:09:12,71,19,En habitacion
371,15:09:24,0,0,En habitacion
372,15:09:35,0,0,En habitacion
373,15:09:48,79,0,En habitacion
374,15:10:00,79,18,En habitacion
375,15:10:12,133,19,En habitacion
376,15:10:24,133,19,En habitacion
377,15:10:36,133,19,En habitacion
378,15:10:47,133,19,En habitacion
379,15:11:01,0,0,Vacio
380,15:11:13,140,22,En habitacion
381,15:11:26,79,19,En habitacion
382,15:11:38,79,19,En habitacion
383,15:11:51,84,19,En habitacion
384,15:12:03,84,19,En habitacion
385,15:12:15,77,9,En habitacion
386,15:12:29,76,9,En habitacion
387,15:12:42,76,9,En habitacion
388,15:12:55,0,0,En habitacion
389,15:13:07,86,20,En habitacion
390,15:13:19,86,20,En habitacion
391,15:13:32,86,20,En habitacion
392,15:13:45,86,20,En habitacion
393,15:13:57,86,16,En habitacion
394,15:14:09,126,16,En habitacion
395,15:14:21,126,15,En habitacion
396,15:14:33,74,12,En habitacion
397,15:14:45,0,17,En habitacion
398,15:14:57,0,0,En habitacion
399,15:15:09,0,0,En habitacion
400,15:15:23,77,18,En habitacion
401,15:15:39,77,18,En habitacion
402,15:15:51,77,18,En habitacion
403,15:16:03,89,18,En habitacion
404,15:16:16,89,66,En habitacion
405,15:16:28,89,66,En habitacion
406,15:16:40,89,66,En habitacion
407,15:16:54,89,66,En habitacion
408,15:17:05,75,66,En habitacion
409,15:17:18,76,9,En habitacion
410,15:17:31,76,9,En habitacion
411,15:17:44,76,8,En habitacion
412,15:17:55,0,0,En habitacion
413,15:18:08,0,65,En habitacion
414,15:18:24,117,18,En habitacion
415,15:18:35,117,18,En habitacion
416,15:18:47,88,18,En habitacion
417,15:19:00,89,163,En habitacion
418,15:19:12,122,14,En habitacion
419,15:19:26,77,63,En habitacion
420,15:19:41,0,0,En habitacion
421,15:19:57,0,61,En habitacion
422,15:20:09,80,15,En habitacion
423,15:20:21,134,15,En habitacion
424,15:20:33,134,16,En habitacion
425,15:20:45,134,16,En habitacion
426,15:21:00,84,15,En habitacion
427,15:21:14,84,15,En habitacion
428,15:21:26,0,0,En habitacion
429,15:21:41,0,0,En habitacion
430,15:21:57,0,0,En habitacion
431,15:22:10,0,0,En habitacion
432,15:22:23,0,0,En habitacion
433,15:22:38,0,0,En habitacion
434,15:22:49,0,0,En habitacion
435,15:23:04,0,0,En habitacion
436,15:23:17,0,58,En habitacion
437,15:23:28,79,58,En habitacion
438,15:23:41,130,9,En habitacion
439,15:23:53,130,9,En habitacion
440,15:24:05,80,63,En habitacion
441,15:24:16,80,64,En habitacion
442,15:24:29,80,64,En habitacion
443,15:24:41,72,15,En habitacion
444,15:24:52,0,0,En habitacion
445,15:25:04,0,0,En habitacion
446,15:25:17,84,0,En habitacion
447,15:25:29,84,0,En habitacion
448,15:25:42,80,0,En habitacion
449,15:25:55,123,15,En habitacion
450,15:26:07,123,19,En habitacion
451,15:26:20,123,68,En habitacion
452,15:26:33,0,0,En habitacion
453,15:26:46,0,0,En habitacion
454,15:26:58,0,0,En habitacion
455,15:27:11,0,17,En habitacion
456,15:27:23,0,16,En habitacion
457,15:27:37,77,16,En habitacion
458,15:27:52,77,16,En habitacion
459,15:28:05,77,16,En habitacion
460,15:28:17,0,0,En habitacion
461,15:28:31,0,0,En habitacion
462,15:28:45,72,0,En habitacion
463,15:28:58,72,0,En habitacion
464,15:29:09,72,0,En habitacion
465,15:29:21,72,0,En habitacion
466,15:29:32,84,0,En habitacion
467,15:29:45,84,13,En habitacion
468,15:29:58,0,0,En habitacion
469,15:30:12,0,0,En habitacion
470,15:30:26,52,0,En habitacion
471,15:30:38,52,0,En habitacion
472,15:30:50,122,61,En habitacion
473,15:31:05,71,15,En habitacion
474,15:31:17,70,63,En habitacion
475,15:31:29,66,19,En habitacion
476,15:31:43,121,16,En habitacion
477,15:31:56,120,16,En habitacion
478,15:32:08,0,18,En habitacion
479,15:32:20,175,18,En habitacion
480,15:32:35,175,18,En habitacion
481,15:32:52,65,14,En habitacion
482,15:33:05,65,14,En habitacion
483,15:33:17,129,11,En habitacion
484,15:33:31,74,59,En habitacion
485,15:33:45,0,0,En habitacion
486,15:33:59,0,0,En habitacion
487,15:34:11,65,65,En habitacion
488,15:34:23,65,65,En habitacion
489,15:34:37,65,65,En habitacion
490,15:34:53,81,14,En habitacion
491,15:35:06,81,14,En habitacion
492,15:35:19,82,14,En habitacion
493,15:36:10,133,19,En habitacion
494,15:36:23,77,20,En habitacion
495,15:36:35,77,20,En habitacion
496,15:36:47,129,19,En habitacion
497,15:37:00,77,66,En habitacion
498,15:37:12,0,17,En habitacion
499,15:37:27,71,65,En habitacion
500,15:37:40,62,16,En habitacion
501,15:37:52,62,16,En habitacion
502,15:38:04,62,16,En habitacion
503,15:38:18,62,16,En habitacion
504,15:38:31,72,59,En habitacion
505,15:38:43,72,13,En habitacion
506,15:38:56,0,0,En habitacion
507,15:39:08,0,0,En habitacion
508,15:39:21,0,0,En habitacion
509,15:39:33,78,22,En habitacion
510,15:39:48,77,22,En habitacion
511,15:40:02,126,62,En habitacion
512,15:40:14,126,12,En habitacion
513,15:40:26,126,12,En habitacion
514,15:40:39,0,0,Vacio
515,15:40:51,0,0,En habitacion
516,15:41:03,79,17,En habitacion
517,15:41:15,79,71,En habitacion
518,15:41:27,79,17,En habitacion
519,15:41:39,79,17,En habitacion
520,15:41:53,79,17,En habitacion
521,15:42:08,79,17,En habitacion
522,15:42:21,90,17,En habitacion
523,15:42:33,0,0,En habitacion
524,15:42:47,0,0,En habitacion
525,15:43:00,116,13,En habitacion
526,15:43:13,62,14,En habitacion
527,15:43:26,114,15,En habitacion
528,15:43:40,114,15,En habitacion
529,15:43:52,114,17,En habitacion
530,15:44:04,114,17,En habitacion
531,15:44:16,0,0,En habitacion
532,15:44:32,0,0,En habitacion
