Index,Hora,Frecuencia Cardiaca,Frecuencia Respiratoria,Estado
1,09:43:53,85,11,En habitacion
2,09:44:04,85,11,En habitacion
3,09:44:15,85,11,En habitacion
4,09:44:25,85,71,En habitacion
5,09:44:36,81,71,En habitacion
6,09:44:50,133,71,En habitacion
7,09:45:01,133,71,En habitacion
8,09:45:12,133,71,En habitacion
9,09:45:24,133,71,En habitacion
10,09:45:33,133,71,En habitacion
11,09:45:45,84,71,En habitacion
12,09:45:55,79,71,En habitacion
13,09:46:05,79,84,En habitacion
14,09:46:16,79,84,En habitacion
15,09:46:27,130,20,En habitacion
16,09:46:38,0,0,En habitacion
17,09:46:49,0,0,En habitacion
18,09:46:59,0,0,En habitacion
19,09:47:12,0,0,En habitacion
20,09:47:22,0,0,En habitacion
21,09:47:32,0,0,En habitacion
22,09:47:44,0,15,En habitacion
23,09:47:55,88,19,En habitacion
24,09:48:06,88,19,En habitacion
25,09:48:17,0,0,Vacio
26,09:48:27,73,20,En habitacion
27,09:48:38,73,20,En habitacion
28,09:48:49,73,20,En habitacion
29,09:49:00,126,20,En habitacion
30,09:49:10,75,18,En habitacion
31,09:49:21,75,18,En habitacion
32,09:49:31,75,17,En habitacion
33,09:49:41,75,17,En habitacion
34,09:49:52,75,18,En habitacion
35,09:50:03,75,18,En habitacion
36,09:50:13,75,18,En habitacion
37,09:50:27,75,18,En habitacion
38,09:50:38,75,18,En habitacion
39,09:50:50,75,69,En habitacion
40,09:51:03,77,21,En habitacion
