Index,Hora,Frecuencia Cardiaca,Frecuencia Respiratoria,Estado
1,09:30:33,65,16,En habitacion
2,09:30:45,65,12,En habitacion
3,09:30:57,77,84,En habitacion
4,09:31:07,77,9,En habitacion
5,09:31:17,0,0,En habitacion
6,09:31:28,77,15,En habitacion
7,09:31:39,77,17,En habitacion
8,09:31:50,77,17,En habitacion
9,09:32:03,77,17,En habitacion
10,09:32:14,74,17,En habitacion
11,09:32:24,74,17,En habitacion
12,09:32:46,74,17,En habitacion
13,09:32:59,0,0,En habitacion
14,09:33:10,0,0,En habitacion
15,09:33:21,70,20,En habitacion
16,09:33:31,140,69,En habitacion
17,09:33:42,140,69,En habitacion
18,09:33:52,140,69,En habitacion
19,09:34:03,129,17,En habitacion
20,09:34:14,122,17,En habitacion
21,09:34:24,122,17,En habitacion
22,09:34:34,122,17,En habitacion
23,09:34:46,0,0,En habitacion
24,09:34:56,0,0,En habitacion
25,09:35:07,0,16,En habitacion
26,09:35:18,0,16,En habitacion
27,09:35:28,0,16,En habitacion
28,09:35:39,0,16,En habitacion
29,09:35:49,0,16,En habitacion
30,09:36:00,0,16,En habitacion
31,09:36:11,0,16,En habitacion
32,09:36:21,0,16,En habitacion
33,09:36:32,0,22,En habitacion
