Index,Hora,Frecuencia Cardiaca,Frecuencia Respiratoria,Punto 1,Punto 2,Punto 3,Punto 4,Punto 5
1,00:43:15,73,16,196,206,206,252,15
2,00:43:28,77,64,60,56,169,114,210
3,00:43:41,69,16,230,9,125,133,127
4,00:43:54,76,17,34,0,62,0,0
5,00:44:07,88,16,107,110,116,75,221
6,00:44:19,83,64,213,231,32,28,55
7,00:44:31,78,20,41,97,174,96,166
8,00:44:45,140,19,202,147,53,115,110
9,00:45:23,136,20,133,49,110,196,162
10,00:45:35,132,20,72,246,72,134,166
11,00:45:48,136,20,68,88,106,62,33
12,00:46:02,88,18,12,54,171,211,211
13,00:46:16,90,17,201,105,229,141,95
14,00:46:33,87,13,222,137,201,236,236
15,00:46:49,139,13,110,185,25,122,65
16,00:47:01,80,14,95,118,115,100,76
17,00:47:14,82,65,76,126,158,159,88
18,00:47:26,73,18,129,105,127,106,176
19,00:47:37,76,65,2,137,71,133,240
20,00:47:51,118,22,51,57,112,73,204
21,00:48:03,82,22,145,135,99,69,54
22,00:48:17,88,70,145,135,99,69,54
23,00:48:30,72,65,91,95,86,115,61
24,00:48:42,70,16,91,95,86,115,61
25,00:48:54,74,13,91,95,86,115,61
26,00:49:06,0,66,91,95,86,115,103
27,00:49:18,75,61,74,222,215,97,103
28,00:49:30,73,11,69,156,193,157,65
29,00:49:42,69,16,8,139,212,177,30
30,00:49:55,131,18,88,50,27,250,93
31,00:50:07,0,20,136,141,106,238,180
32,00:50:19,124,21,122,28,53,181,241
33,00:50:31,127,21,84,231,107,137,225
34,00:50:44,75,21,74,212,171,90,242
35,00:50:58,77,18,132,118,141,151,220
36,00:51:10,76,61,143,109,117,161,154
37,00:51:25,72,58,64,78,228,197,201
38,00:51:37,129,18,118,155,80,47,76
39,00:51:49,77,17,130,143,97,238,68
40,00:52:06,88,16,163,102,8,79,114
41,00:52:18,88,14,147,149,124,104,199
42,00:52:30,88,16,152,90,184,127,32
43,00:52:42,85,18,58,200,135,134,65
44,00:52:54,87,65,241,155,90,105,82
45,00:53:07,149,21,241,155,90,105,82
46,00:53:21,144,21,241,155,90,105,82
47,00:53:33,100,25,203,116,141,123,81
48,00:53:46,145,22,203,116,141,123,81
49,00:53:58,82,20,92,215,192,118,2
50,00:54:10,72,162,138,198,34,193,234
51,00:54:22,128,19,105,145,155,104,144
52,00:54:34,128,19,233,175,106,157,211
53,00:54:46,76,63,118,209,126,211,2
54,00:55:01,134,16,168,78,173,143,43
55,00:55:13,85,16,191,186,152,144,99
56,00:55:25,85,58,194,245,114,192,153
57,00:55:37,84,12,92,89,114,124,143
58,00:55:50,68,10,46,43,24,240,83
59,00:56:02,77,60,138,95,126,98,143
60,00:56:17,65,61,71,196,51,227,198
61,00:56:31,65,0,71,196,51,227,198
62,00:56:43,65,62,154,143,46,50,140
63,00:56:56,65,10,81,95,145,135,19
64,00:57:09,65,59,89,237,20,220,127
65,00:57:21,65,10,143,200,230,9,255
66,00:57:34,78,11,89,110,96,172,125
67,00:57:46,88,62,120,208,132,126,111
68,00:57:59,88,15,189,49,124,141,96
69,00:58:11,76,15,110,140,123,116,159
70,00:58:23,74,19,138,201,170,106,56
71,00:58:35,75,20,119,105,122,120,179
