Index,Hora,Frecuencia Cardiaca,Frecuencia Respiratoria,Estado
1,11:37:19,83,18,En habitacion
2,11:37:30,83,18,En habitacion
3,11:37:55,0,0,Vacio
4,11:38:06,0,0,En habitacion
5,11:38:17,87,13,En habitacion
6,11:38:28,71,14,En habitacion
7,11:38:39,70,15,En habitacion
8,11:38:50,70,15,En habitacion
9,11:39:01,70,15,En habitacion
10,11:39:12,118,14,En habitacion
11,11:39:22,118,14,En habitacion
12,11:39:33,118,14,En habitacion
13,11:39:44,0,0,Vacio
14,11:39:56,0,0,En habitacion
15,11:40:06,0,0,En habitacion
16,11:40:17,0,0,En habitacion
17,11:40:31,73,19,En habitacion
18,11:40:43,72,17,En habitacion
19,11:40:53,75,14,En habitacion
20,11:41:05,129,14,En habitacion
21,11:41:18,129,14,En habitacion
22,11:41:29,129,14,Vacio
23,11:41:41,0,0,En habitacion
24,11:41:51,0,0,En habitacion
25,11:42:05,0,0,En habitacion
26,11:42:16,0,0,En habitacion
27,11:42:28,0,0,En habitacion
28,11:42:40,0,0,En habitacion
29,11:42:54,79,0,En habitacion
30,11:43:05,79,0,En habitacion
31,11:43:17,0,0,Vacio
32,11:43:28,0,0,En habitacion
33,11:43:39,83,0,En habitacion
34,11:43:49,84,18,En habitacion
35,11:44:01,84,19,En habitacion
36,11:44:12,84,20,En habitacion
37,11:44:22,141,20,En habitacion
38,11:44:34,89,68,En habitacion
39,11:44:44,89,68,En habitacion
40,11:44:55,87,68,En habitacion
41,11:45:06,0,0,Vacio
42,11:45:19,0,0,Vacio
43,11:45:30,90,17,En habitacion
44,11:45:42,90,17,En habitacion
45,11:45:54,90,17,En habitacion
46,11:46:04,117,14,En habitacion
47,11:46:16,117,14,En habitacion
48,11:46:27,117,14,En habitacion
49,11:46:39,75,18,En habitacion
50,11:46:50,135,15,En habitacion
51,11:47:03,0,0,En habitacion
52,11:47:15,82,12,En habitacion
53,11:47:26,121,13,En habitacion
54,11:47:37,69,13,En habitacion
55,11:47:48,69,63,En habitacion
56,11:48:00,69,63,En habitacion
57,11:48:10,72,17,En habitacion
58,11:48:21,72,17,En habitacion
59,11:48:33,72,20,En habitacion
60,11:48:45,0,0,En habitacion
61,11:48:56,75,18,En habitacion
62,11:49:09,83,18,En habitacion
63,11:49:21,135,18,En habitacion
64,11:49:32,135,16,En habitacion
65,11:49:45,135,16,En habitacion
66,11:49:56,135,14,En habitacion
67,11:50:08,135,12,En habitacion
68,11:50:19,135,12,En habitacion
69,11:50:30,138,12,En habitacion
70,11:50:41,75,10,En habitacion
71,11:50:53,81,8,En habitacion
72,11:51:05,70,161,En habitacion
73,11:51:15,64,61,En habitacion
74,11:51:28,64,61,En habitacion
75,11:51:39,72,58,En habitacion
76,11:51:50,72,58,En habitacion
77,11:52:02,70,58,En habitacion
78,11:52:13,130,17,En habitacion
79,11:52:25,87,18,En habitacion
80,11:52:36,87,66,En habitacion
81,11:52:50,87,66,En habitacion
82,11:53:02,130,14,En habitacion
83,11:53:13,130,14,En habitacion
84,11:53:24,130,14,En habitacion
85,11:53:35,77,20,En habitacion
86,11:53:48,123,22,En habitacion
87,11:53:59,0,0,En habitacion
88,11:54:11,0,0,En habitacion
89,11:54:22,0,0,En habitacion
90,11:54:33,140,19,En habitacion
91,11:54:44,142,16,En habitacion
92,11:54:59,142,16,En habitacion
93,11:55:47,75,11,En habitacion
94,11:55:58,75,11,En habitacion
95,11:56:11,75,11,En habitacion
96,11:56:23,75,11,En habitacion
97,11:56:34,75,11,En habitacion
98,11:56:45,75,11,En habitacion
99,11:56:57,89,69,En habitacion
100,11:57:09,141,19,En habitacion
101,11:57:20,0,0,En habitacion
102,11:57:35,0,0,En habitacion
103,11:57:47,0,21,En habitacion
104,11:57:58,76,66,En habitacion
105,11:58:09,76,18,En habitacion
106,11:58:22,123,16,En habitacion
107,11:58:33,123,16,En habitacion
108,11:58:44,123,16,En habitacion
109,11:58:55,0,0,En habitacion
110,11:59:06,0,14,En habitacion
111,11:59:19,78,18,En habitacion
