Index,Hora,Frecuencia Cardiaca,Frecuencia Respiratoria,Punto 1,Punto 2,Punto 3,Punto 4,Punto 5
143,11:43:52,91,23,126,124,123,130,176
144,11:44:05,89,23,128,122,126,129,130
145,11:44:18,87,23,135,122,100,133,154
146,11:44:30,87,23,134,119,124,118,174
147,11:44:42,87,21,124,126,131,129,244
148,11:44:56,92,72,127,142,122,116,123
149,11:45:09,74,72,127,128,126,123,140
150,11:45:24,74,72,128,124,136,129,190
151,11:45:40,82,22,124,128,127,126,126
152,11:45:54,94,24,124,128,127,126,126
153,11:46:10,94,24,125,125,122,130,199
154,11:46:24,94,24,126,125,130,104,117
155,11:46:39,94,23,140,143,125,127,211
156,11:46:52,148,72,140,143,127,128,181
157,11:47:06,89,152,128,130,123,126,129
158,11:47:20,93,25,121,126,131,125,121
159,11:47:34,93,75,123,135,121,127,131
160,11:47:46,93,26,138,126,133,129,191
161,11:48:01,93,70,132,133,123,142,126
162,11:48:14,90,20,132,133,123,142,126
163,11:48:27,78,66,132,133,123,142,126
164,11:48:41,132,65,132,133,123,142,126
165,11:49:15,77,24,132,133,123,142,126
166,11:49:31,87,24,119,133,128,130,124
167,11:49:47,145,27,119,133,128,130,124
168,11:50:00,97,26,129,129,127,129,188
169,11:50:17,85,19,129,129,127,129,188
170,11:50:32,93,72,127,121,128,129,126
171,11:50:46,93,26,129,116,130,128,129
172,11:51:04,93,29,130,122,130,134,146
173,11:51:20,147,29,128,126,129,129,185
174,11:51:36,149,28,127,128,114,114,143
175,11:52:13,78,232,125,128,131,130,122
176,11:52:31,77,17,136,135,127,126,128
177,11:52:46,77,65,128,111,123,128,134
178,11:53:02,129,61,139,118,119,119,143
179,11:53:19,77,61,128,128,84,0,83
180,11:53:34,77,18,127,131,129,123,182
181,11:53:48,77,18,132,123,133,126,188
182,11:54:03,95,75,116,128,123,117,163
183,11:54:18,95,70,109,155,134,133,196
184,11:54:32,87,20,131,128,132,132,191
185,11:55:04,86,0,139,128,117,111,129
186,11:55:19,89,20,139,128,117,111,127
187,11:55:36,141,22,101,184,123,125,205
188,11:55:50,81,21,101,131,130,129,192
189,11:56:04,124,21,120,111,133,129,0
190,11:56:24,97,76,134,128,119,128,133
191,11:56:37,97,76,125,124,129,134,200
192,11:56:52,94,76,144,91,141,154,202
193,11:57:07,93,66,126,137,129,133,113
194,11:57:23,91,18,120,125,120,124,160
195,11:57:37,91,16,134,126,134,132,119
196,11:57:53,91,19,107,120,153,107,133
197,11:58:08,91,22,130,128,104,167,124
198,11:58:23,95,22,121,163,121,122,108
199,11:58:37,95,72,122,117,132,129,149
200,11:58:54,88,25,124,133,145,127,204
201,11:59:10,137,18,117,128,126,126,139
202,11:59:24,85,18,78,116,121,125,189
203,11:59:38,85,20,121,121,142,128,124
204,11:59:52,86,22,115,128,111,123,111
205,12:00:08,153,25,119,122,127,116,186
206,12:00:20,156,29,126,131,134,150,208
207,12:00:34,156,31,125,111,130,139,180
208,12:00:48,153,31,137,120,120,138,144
209,12:01:02,152,29,143,111,121,129,144
210,12:01:14,151,26,143,111,121,129,144
211,12:01:30,99,84,143,111,121,129,144
212,12:01:43,151,27,131,128,128,139,131
213,12:02:14,151,26,126,96,145,135,134
214,12:02:27,151,26,118,132,126,133,196
215,12:02:44,86,26,131,130,126,127,185
216,12:02:58,86,68,128,133,134,123,183
217,12:03:11,87,22,119,126,129,198,84
218,12:03:25,89,71,119,126,129,115,186
219,12:03:38,141,24,127,126,139,127,188
220,12:03:52,88,21,128,126,128,132,186
221,12:04:06,85,65,145,121,108,139,130
222,12:04:20,135,65,132,97,122,134,129
223,12:04:34,75,19,133,133,134,155,107
224,12:04:46,76,64,138,116,117,130,182
225,12:05:02,128,21,130,131,136,121,119
226,12:05:17,137,22,133,125,132,116,181
227,12:05:30,98,72,126,136,136,133,139
228,12:05:43,95,72,116,132,126,128,116
229,12:05:59,95,77,118,117,110,157,176
230,12:06:12,91,25,136,140,130,123,199
231,12:06:26,91,72,127,116,130,146,118
232,12:06:42,89,19,127,138,94,130,152
233,12:06:57,86,64,129,123,126,120,173
234,12:07:12,78,15,128,131,132,126,177
235,12:07:27,130,18,124,130,132,133,126
236,12:07:41,79,21,127,127,128,128,185
237,12:07:58,102,25,127,127,128,127,184
238,12:08:27,0,25,128,128,128,128,187
239,12:08:40,0,25,128,128,128,128,187
240,12:08:55,0,25,128,128,128,128,187
241,12:09:10,0,25,128,128,128,128,187
242,12:09:28,0,18,128,128,128,128,187
243,12:09:46,90,68,140,133,126,136,211
244,12:10:00,87,22,130,131,126,128,178
245,12:31:01,81,13,128,128,128,127,127
246,12:31:14,95,17,128,130,129,127,190
247,12:31:29,100,23,128,127,127,130,186
248,12:31:42,100,28,128,128,124,127,180
249,12:31:56,152,28,128,125,127,127,126
250,12:32:09,99,20,126,127,133,126,186
251,12:32:22,99,15,125,128,128,129,180
252,12:32:36,145,15,127,127,128,128,128
253,12:32:48,90,62,127,127,128,127,183
254,12:33:01,90,62,127,127,128,127,184
255,12:33:14,86,13,127,126,124,128,129
256,12:33:31,138,14,128,128,127,127,184
257,12:33:44,132,11,127,129,128,127,186
258,12:33:57,77,14,127,127,127,127,183
259,12:34:32,0,0,128,128,128,128,187
260,12:34:46,0,0,128,128,128,128,187
261,12:35:01,122,16,129,124,125,128,185
262,12:35:15,71,16,126,130,128,125,189
263,12:35:28,83,23,125,131,129,121,175
264,12:35:44,83,25,129,126,128,122,131
265,12:35:57,78,70,128,127,128,132,189
266,12:36:09,95,72,129,128,127,126,184
267,12:36:22,138,23,241,13,255,83,89
268,12:36:36,81,23,128,127,128,127,127
269,12:36:52,74,21,127,127,128,127,183
270,12:37:05,134,21,128,127,128,127,184
271,12:37:19,84,0,127,128,128,128,185
272,12:37:33,84,0,127,128,127,127,127
273,12:37:47,142,0,127,126,129,127,128
274,12:38:00,0,0,128,128,128,128,128
275,12:38:12,0,0,128,128,128,128,128
276,12:38:24,0,0,128,128,128,128,128
277,12:38:37,0,0,128,128,128,128,128
278,12:38:49,0,0,128,128,128,128,128
279,12:39:02,0,0,128,128,128,128,128
280,12:39:14,0,0,128,128,128,128,128
281,12:39:28,0,0,128,128,128,128,128
282,12:39:41,0,0,128,128,128,128,128
283,12:39:55,0,0,128,128,128,128,128
284,12:40:09,0,0,128,128,128,128,128
285,12:40:25,0,0,128,128,128,128,128
286,12:40:39,0,0,128,128,128,128,128
287,12:40:51,0,0,128,128,128,128,128
288,12:41:04,0,0,128,128,128,128,128
289,12:41:17,0,0,128,128,128,128,128
290,12:41:30,0,0,128,128,128,128,128
291,12:41:45,0,0,128,128,128,128,128
292,12:42:00,142,17,127,126,127,129,184
293,12:42:15,90,16,126,127,128,127,182
294,12:42:29,90,19,125,126,130,122,127
295,12:42:43,151,15,133,119,120,145,191
296,12:43:13,102,23,127,130,124,126,127
297,12:43:27,91,16,136,145,125,135,210
298,12:43:41,140,19,136,145,125,135,210
299,12:43:54,88,73,128,127,125,127,182
300,12:44:08,140,68,125,120,126,135,181
301,12:44:58,86,21,127,128,129,128,122
302,12:45:15,88,21,128,130,128,124,184
303,12:45:30,90,13,130,131,120,129,127
304,12:45:45,90,10,128,127,127,128,127
305,12:45:58,142,8,127,127,128,128,185
306,12:46:13,84,17,127,128,127,127,183
307,12:46:27,145,22,127,128,127,127,183
308,12:46:39,99,70,127,128,127,127,183
309,12:46:54,88,19,128,128,128,128,186
310,12:47:08,85,25,128,128,128,126,186
311,12:47:21,148,76,128,128,128,126,186
312,12:47:36,103,28,128,128,128,126,186
313,12:47:49,157,28,128,127,128,127,184
314,12:48:03,79,18,128,127,128,127,184
315,12:48:18,123,11,128,128,127,128,128
316,12:48:31,74,60,126,128,127,128,183
317,12:48:45,87,169,127,128,128,128,127
318,12:48:58,88,10,127,126,128,128,127
319,12:49:12,77,14,128,255,127,127,129
320,12:49:26,77,59,128,255,127,127,129
321,12:49:40,77,10,128,255,127,127,129
322,12:49:53,77,10,128,127,128,128,185
323,12:50:07,78,10,127,127,127,127,183
324,12:50:22,130,16,127,128,127,128,185
325,12:50:35,78,17,127,128,127,128,185
326,12:50:47,130,18,129,126,127,128,127
327,12:51:00,138,20,128,126,130,128,185
328,12:51:13,87,20,128,128,127,127,184
329,12:51:48,140,23,128,127,127,127,183
330,12:52:02,133,23,123,128,125,130,126
331,12:52:16,77,19,129,123,126,126,181
332,12:52:29,77,20,125,128,127,125,128
333,12:52:44,77,19,128,127,127,129,127
334,12:52:57,96,70,126,128,127,127,181
335,12:53:11,76,21,127,126,128,127,125
336,12:53:23,75,70,129,126,128,128,185
337,12:53:37,73,22,129,127,129,128,185
338,12:53:53,118,21,128,126,128,127,130
339,12:54:06,135,72,127,127,124,129,185
340,12:54:19,85,21,128,127,127,128,124
341,12:54:34,85,66,130,128,126,125,180
342,12:54:46,86,65,127,128,135,133,125
343,12:54:59,138,23,121,128,132,123,127
344,12:55:11,80,23,127,129,127,127,184
345,12:55:26,139,28,130,128,129,125,186
346,12:55:39,143,30,127,127,130,82,142
347,12:55:53,148,30,123,128,178,130,128
348,12:56:07,148,30,127,127,127,128,183
349,12:56:35,81,16,127,133,127,129,189
