Index,Hora,Frecuencia Cardiaca,Frecuencia Respiratoria,Estado
1,13:28:06,0,0,En habitacion
2,13:28:25,0,0,En habitacion
3,13:28:44,0,0,En habitacion
4,13:29:23,73,0,En habitacion
5,13:29:42,80,0,En habitacion
6,13:30:20,80,0,En habitacion
7,13:30:36,80,0,En habitacion
8,13:30:57,0,0,En habitacion
9,13:31:15,130,0,En habitacion
10,13:31:51,80,12,En habitacion
11,13:32:41,0,0,Vacio
12,13:32:53,0,0,En habitacion
13,13:33:07,0,14,En habitacion
14,13:33:22,85,9,En habitacion
15,13:33:34,86,57,En habitacion
16,13:33:46,140,57,En habitacion
17,13:33:59,140,57,En habitacion
18,13:34:11,140,11,En habitacion
19,13:34:25,140,11,En habitacion
20,13:34:37,0,0,En habitacion
21,13:34:48,0,0,En habitacion
22,13:35:00,0,0,En habitacion
23,13:35:12,0,0,En habitacion
24,13:35:24,0,0,En habitacion
25,13:35:37,0,0,En habitacion
26,13:35:49,0,26,En habitacion
27,13:36:02,0,27,En habitacion
28,13:36:13,0,27,En habitacion
29,13:36:25,0,0,En habitacion
30,13:36:37,149,0,En habitacion
31,13:36:49,149,18,En habitacion
32,13:37:16,82,18,En habitacion
33,13:37:27,73,17,En habitacion
34,13:37:39,73,17,En habitacion
35,13:37:52,66,17,En habitacion
36,13:38:03,0,0,Vacio
37,13:38:16,0,19,En habitacion
38,13:38:30,78,23,En habitacion
39,13:38:44,76,69,En habitacion
40,13:38:58,76,69,En habitacion
41,13:39:10,76,69,En habitacion
42,13:39:23,81,9,En habitacion
43,13:39:37,81,11,En habitacion
44,13:39:50,81,11,En habitacion
45,13:40:02,0,0,En habitacion
46,13:40:14,84,19,En habitacion
47,13:40:26,136,15,En habitacion
48,13:40:37,136,17,En habitacion
49,13:40:54,136,17,En habitacion
50,13:41:05,70,17,En habitacion
51,13:41:18,70,17,En habitacion
52,13:41:30,70,17,En habitacion
53,13:41:42,0,0,En habitacion
54,13:41:55,0,0,En habitacion
55,13:42:08,0,0,En habitacion
56,13:42:21,0,0,En habitacion
57,13:42:33,75,19,En habitacion
58,13:42:46,75,16,En habitacion
59,13:42:59,71,14,En habitacion
60,13:43:13,74,16,En habitacion
61,13:43:29,0,18,En habitacion
62,13:43:43,0,17,En habitacion
63,13:43:59,0,17,En habitacion
64,13:44:12,0,17,En habitacion
65,13:44:26,0,17,En habitacion
66,13:44:38,0,17,En habitacion
67,13:44:49,0,17,En habitacion
68,13:45:01,75,13,En habitacion
69,13:45:15,82,9,En habitacion
70,13:45:28,82,57,En habitacion
71,13:45:41,79,10,En habitacion
72,13:45:56,85,17,En habitacion
73,13:46:09,85,22,En habitacion
74,13:46:23,85,22,En habitacion
75,13:46:36,78,17,En habitacion
76,13:46:48,0,0,En habitacion
77,13:47:00,0,66,En habitacion
78,13:47:12,74,18,En habitacion
79,13:47:25,74,15,En habitacion
80,13:47:36,126,15,En habitacion
81,13:47:51,126,15,En habitacion
82,13:48:05,126,15,En habitacion
83,13:48:33,0,0,En habitacion
84,13:48:48,0,0,En habitacion
85,13:49:02,0,0,En habitacion
86,13:49:14,0,0,En habitacion
87,13:49:27,0,60,En habitacion
88,13:49:40,77,14,En habitacion
89,13:49:51,77,15,En habitacion
90,13:50:03,77,15,En habitacion
91,13:50:14,0,0,En habitacion
92,13:50:28,74,16,En habitacion
93,13:50:40,74,66,En habitacion
94,13:50:52,126,18,En habitacion
95,13:51:04,74,21,En habitacion
96,13:51:16,133,19,En habitacion
97,13:51:29,135,19,En habitacion
98,13:51:40,88,20,En habitacion
99,13:51:53,88,20,En habitacion
100,13:52:08,87,18,En habitacion
101,13:52:21,90,66,En habitacion
102,13:52:33,142,18,En habitacion
103,13:52:45,142,18,En habitacion
104,13:52:59,138,19,En habitacion
105,13:53:11,86,17,En habitacion
106,13:53:22,86,17,En habitacion
107,13:53:35,86,17,En habitacion
108,13:53:49,64,60,En habitacion
109,13:54:00,64,16,En habitacion
110,13:54:13,64,17,En habitacion
111,13:54:25,69,17,En habitacion
112,13:54:39,69,13,En habitacion
113,13:54:52,69,13,En habitacion
114,13:55:04,69,19,En habitacion
115,13:55:16,69,19,En habitacion
116,13:55:27,71,64,En habitacion
117,13:55:41,123,18,En habitacion
118,13:55:53,70,64,En habitacion
119,13:56:05,70,16,En habitacion
120,13:56:17,70,16,En habitacion
121,13:56:29,70,16,En habitacion
122,13:57:17,0,0,En habitacion
123,13:57:30,134,11,En habitacion
124,13:57:44,134,11,En habitacion
125,13:57:57,134,11,En habitacion
126,13:58:11,134,17,En habitacion
127,13:58:25,131,17,En habitacion
128,13:58:38,131,17,En habitacion
129,13:58:51,131,18,En habitacion
130,13:59:06,0,0,En habitacion
131,13:59:18,0,0,En habitacion
132,13:59:30,0,0,En habitacion
133,13:59:43,0,0,En habitacion
134,13:59:59,0,13,En habitacion
135,14:00:11,77,66,En habitacion
136,14:00:23,77,66,En habitacion
137,14:00:36,77,66,En habitacion
138,14:00:49,0,18,En habitacion
139,14:01:00,0,16,En habitacion
140,14:01:14,79,15,En habitacion
141,14:01:26,131,15,En habitacion
142,14:01:38,131,15,En habitacion
143,14:01:51,131,15,En habitacion
144,14:02:03,131,15,En habitacion
145,14:02:18,131,15,En habitacion
146,14:02:30,0,0,Vacio
147,14:02:45,0,0,En habitacion
148,14:02:58,0,0,En habitacion
149,14:03:13,130,11,En habitacion
150,14:03:25,130,11,En habitacion
151,14:03:37,0,21,En habitacion
152,14:03:50,0,20,En habitacion
153,14:04:03,68,19,En habitacion
154,14:04:16,0,0,Vacio
155,14:04:28,12,21,En habitacion
156,14:04:42,12,17,En habitacion
157,14:04:56,71,16,En habitacion
158,14:05:08,71,16,En habitacion
159,14:05:22,0,16,En habitacion
160,14:05:37,0,16,En habitacion
161,14:05:49,0,16,En habitacion
162,14:06:01,0,0,En habitacion
163,14:06:15,0,0,En habitacion
164,14:06:27,0,0,En habitacion
165,14:06:41,66,64,En habitacion
166,14:06:53,66,64,En habitacion
167,14:07:05,66,14,En habitacion
168,14:07:18,68,14,En habitacion
169,14:07:30,68,14,En habitacion
170,14:07:45,0,20,En habitacion
171,14:07:56,62,20,En habitacion
172,14:08:10,62,20,En habitacion
173,14:08:22,64,20,En habitacion
174,14:08:38,64,20,En habitacion
175,14:08:49,64,12,En habitacion
176,14:09:02,64,12,En habitacion
177,14:09:13,64,12,En habitacion
178,14:09:25,0,0,Vacio
179,14:09:36,0,0,En habitacion
180,14:09:47,0,21,En habitacion
181,14:09:58,68,69,En habitacion
182,14:10:10,68,69,En habitacion
183,14:10:23,71,21,En habitacion
184,14:10:34,71,69,En habitacion
185,14:10:47,71,69,En habitacion
186,14:10:59,71,21,En habitacion
187,14:11:12,0,0,Vacio
188,14:11:23,0,0,Vacio
189,14:11:34,0,0,Vacio
190,14:11:45,0,0,Vacio
191,14:11:57,0,0,En habitacion
192,14:12:10,0,66,En habitacion
193,14:12:21,2,20,En habitacion
194,14:12:34,2,20,En habitacion
195,14:12:46,2,20,En habitacion
196,14:12:59,2,15,En habitacion
197,14:13:10,2,15,En habitacion
198,14:13:21,79,15,En habitacion
199,14:13:34,79,15,En habitacion
200,14:13:47,0,10,En habitacion
201,14:13:59,0,14,En habitacion
202,14:14:12,0,14,En habitacion
203,14:14:24,79,15,En habitacion
204,14:14:35,244,64,En habitacion
205,14:14:49,244,64,En habitacion
206,14:15:02,244,17,En habitacion
207,14:15:15,70,17,En habitacion
208,14:15:27,0,0,En habitacion
209,14:15:39,138,0,En habitacion
210,14:15:51,138,0,En habitacion
211,14:16:03,80,19,En habitacion
212,14:16:14,80,64,En habitacion
213,14:16:40,72,13,En habitacion
