Index,Hora,Frecuencia Cardiaca,Frecuencia Respiratoria,Estado
1,10:16:06,0,0,En habitacion
2,10:16:17,76,12,En habitacion
3,10:16:27,70,14,En habitacion
4,10:16:37,122,14,En habitacion
5,10:16:49,122,14,En habitacion
6,10:16:59,122,14,En habitacion
7,10:17:09,74,61,En habitacion
8,10:17:20,135,61,En habitacion
9,10:17:31,75,16,En habitacion
10,10:17:41,0,0,En habitacion
11,10:17:52,0,0,En habitacion
12,10:18:03,0,0,En habitacion
13,10:18:14,132,18,En habitacion
14,10:18:25,119,16,En habitacion
15,10:18:35,0,18,En habitacion
16,10:18:46,81,0,En habitacion
17,10:18:58,75,19,En habitacion
18,10:19:09,69,0,En habitacion
19,10:19:19,0,0,Vacio
20,10:19:30,0,0,Vacio
21,10:19:42,0,0,Vacio
22,10:19:52,0,0,Vacio
23,10:20:02,0,0,En habitacion
24,10:20:13,0,0,En habitacion
25,10:20:25,0,0,En habitacion
26,10:20:35,0,10,En habitacion
27,10:20:45,0,10,En habitacion
28,10:20:55,0,10,En habitacion
29,10:21:05,0,10,En habitacion
30,10:21:16,0,10,En habitacion
31,10:21:29,0,11,En habitacion
32,10:21:40,63,60,En habitacion
33,10:21:52,71,16,En habitacion
34,10:22:02,71,16,En habitacion
35,10:22:12,71,15,En habitacion
36,10:22:22,71,16,En habitacion
37,10:22:34,71,16,En habitacion
38,10:22:47,71,16,En habitacion
39,10:22:59,122,12,En habitacion
40,10:23:10,122,12,En habitacion
41,10:23:21,122,8,En habitacion
42,10:23:47,0,0,En habitacion
43,10:24:01,70,0,En habitacion
44,10:24:11,70,0,En habitacion
45,10:24:22,70,0,En habitacion
46,10:24:34,70,0,En habitacion
47,10:24:45,70,0,En habitacion
48,10:24:58,70,0,En habitacion
49,10:25:08,0,0,Vacio
50,10:25:19,0,0,Vacio
51,10:25:30,0,15,En habitacion
52,10:25:41,87,17,En habitacion
53,10:25:52,74,20,En habitacion
54,10:26:04,82,20,En habitacion
55,10:26:23,82,20,En habitacion
56,10:26:36,82,20,En habitacion
57,10:26:47,66,57,En habitacion
58,10:27:05,76,9,En habitacion
59,10:27:48,0,7,En habitacion
60,10:29:19,84,0,En habitacion
61,10:29:51,84,68,En habitacion
62,10:30:02,81,15,En habitacion
63,10:30:12,81,12,En habitacion
64,10:30:22,81,12,En habitacion
65,10:30:52,77,64,En habitacion
66,10:31:52,0,13,En habitacion
67,10:32:02,80,14,En habitacion
68,10:32:13,0,0,Vacio
69,10:32:24,0,0,En habitacion
70,10:32:35,136,15,En habitacion
71,10:32:45,85,14,En habitacion
72,10:32:56,128,10,En habitacion
73,10:33:06,128,10,En habitacion
74,10:33:17,78,10,En habitacion
75,10:33:28,78,10,En habitacion
76,10:33:39,78,10,En habitacion
77,10:33:50,80,10,En habitacion
78,10:34:00,80,17,En habitacion
79,10:34:14,0,0,En habitacion
80,10:34:23,0,0,En habitacion
81,10:34:34,0,0,En habitacion
82,10:34:46,0,0,En habitacion
83,10:34:59,66,0,En habitacion
84,10:35:09,66,14,En habitacion
85,10:35:20,118,12,En habitacion
86,10:35:33,80,61,En habitacion
87,10:35:43,80,65,En habitacion
88,10:35:54,0,0,En habitacion
89,10:36:07,0,0,En habitacion
90,10:36:17,0,14,En habitacion
91,10:36:30,0,14,En habitacion
92,10:36:44,85,70,En habitacion
93,10:36:56,85,70,En habitacion
94,10:37:06,71,18,En habitacion
95,10:37:18,79,17,En habitacion
96,10:37:30,77,18,En habitacion
97,10:37:41,0,0,En habitacion
98,10:37:51,130,15,En habitacion
99,10:38:02,130,15,En habitacion
100,10:38:15,74,15,En habitacion
101,10:38:26,74,15,En habitacion
102,10:38:38,74,15,En habitacion
103,10:38:49,74,15,En habitacion
104,10:39:02,74,15,En habitacion
105,10:39:13,74,15,En habitacion
106,10:39:26,74,15,En habitacion
107,10:39:37,79,62,En habitacion
108,10:39:48,79,62,En habitacion
109,10:39:58,129,14,En habitacion
110,10:40:10,77,63,En habitacion
111,10:40:22,77,63,En habitacion
112,10:40:34,76,62,En habitacion
113,10:40:44,76,62,En habitacion
114,10:40:59,0,0,En habitacion
115,10:41:13,80,16,En habitacion
116,10:41:26,80,16,En habitacion
117,10:41:37,80,17,En habitacion
118,10:41:50,130,16,En habitacion
119,10:42:02,130,16,En habitacion
120,10:42:14,130,18,En habitacion
121,10:42:26,130,17,En habitacion
122,10:42:37,130,14,En habitacion
123,10:42:49,0,0,En habitacion
124,10:43:04,89,15,En habitacion
