Index,Hora,Frecuencia Cardiaca,Frecuencia Respiratoria,Punto 1,Punto 2,Punto 3,Punto 4,Punto 5
1,17:01:01,102,73,125,128,124,127,179
2,17:01:14,102,73,127,126,120,130,142
3,17:01:28,86,84,127,127,119,145,205
4,17:01:40,86,22,127,128,126,127,185
5,17:01:53,86,22,127,127,128,128,126
6,17:02:05,86,22,128,129,126,129,185
7,17:02:18,86,22,130,127,129,125,181
8,17:02:31,73,22,127,127,128,127,183
9,17:02:43,73,22,128,128,126,127,183
10,17:02:56,73,22,127,127,127,128,183
11,17:03:09,73,17,127,127,128,126,182
12,17:03:20,81,17,128,127,127,128,185
13,17:03:33,81,17,127,127,131,136,184
14,17:03:44,81,17,127,128,128,130,188
15,17:03:56,81,17,129,133,126,131,128
16,17:04:08,93,74,124,130,125,126,182
17,17:04:21,100,28,132,131,128,126,187
18,17:04:34,100,28,109,128,129,127,128
19,17:04:46,85,30,127,127,129,126,184
20,17:04:58,85,30,128,126,128,128,128
